	genotypesgApc_names	genotypesgApc_logfoldchanges	genotypesgApc_pvals_adj	genotypesgApc_percent_expressed	genotypesgLkb1_names	genotypesgLkb1_logfoldchanges	genotypesgLkb1_pvals_adj	genotypesgLkb1_percent_expressed	genotypesgNT_names	genotypesgNT_logfoldchanges	genotypesgNT_pvals_adj	genotypesgNT_percent_expressed
19	Stra6	2.0125957	5.0442221613364305e-24	0.24096386	Gm1673	3.2257159	0.0	0.5827215	Tm4sf1	1.3085067	1.7653612171379538e-131	0.6520763
20	Cd74	1.1541185	4.490628631026965e-23	0.5180723	Sparc	2.6733618	0.0	0.7873226	Plat	1.5816664	1.2585647496857394e-120	0.5181444
21	Gm42418	0.67426836	5.1284167106728786e-23	0.76506025	Krt6a	3.9627583	0.0	0.5059349	Rpl18	0.47683102	2.310172653921929e-120	0.9887767
22	Pfkp	1.9729544	7.042114936916511e-23	0.23975904	Aqp5	2.6158085	0.0	0.92939305	Sptssb	3.3871589	6.898271324673519e-118	0.2674897
23	Igfbp4	0.8651039	1.096575555526909e-21	0.6012048	Cp	3.3789911	0.0	0.5636931	Rpl8	0.42030266	7.633777094615174e-119	0.99102134
24	Hspb1	0.9340442	1.4486501496647387e-21	0.6012048	Bmyc	3.1484497	0.0	0.5965492	Rps27rt	0.51313674	2.0744800519676943e-117	0.9835391
25	Tspan5	2.137915	7.502046675094226e-21	0.20481928	Trim13	3.469373	0.0	0.46279982	Rps2	0.44514787	2.764326006314962e-116	0.9913954
26	Cldn18	1.7070005	8.805782434112605e-21	0.26506025	Osbp2	4.7594404	0.0	0.34679392	Bgn	1.9981648	8.076725966241413e-111	0.35690236
27	Mia	2.3514419	1.2567330514178608e-20	0.213253	Fam213a	2.1928263	0.0	0.88754284	Vsig2	2.3797882	1.2600686685662465e-109	0.2959222
28	AI413582	1.1819609	2.1511211553122024e-20	0.3626506	Urah	2.4511335	0.0	0.7548336	Rps19	0.39102474	1.504874915871246e-102	0.99513656
29	Vamp5	1.1458089	6.642850186735634e-20	0.36746988	Dcpp3	6.370622	0.0	0.2127998	Tff1	1.8693566	3.837419607736175e-101	0.55592966
30	Selenbp1	1.2212518	2.018260717267363e-18	0.37108433	Trp53i11	4.293801	0.0	0.34220508	Tmsb4x	0.53809994	2.7951963175681052e-101	0.99700713
31	Abhd2	0.8940036	5.571059872593098e-18	0.4939759	Ctnnb1	1.669176	0.0	0.96781695	Tnfaip2	2.6362407	3.296821565435829e-95	0.26000747
32	Aprt	0.59323126	8.490662787929639e-18	0.72409636	Slc17a6	4.5078373	0.0	0.29619431	Ugdh	1.0513674	7.705887527120602e-95	0.63973063
33	Ttll7	1.2116799	9.835296486223957e-18	0.29759037	Ecm1	2.187981	0.0	0.8151004	Lgals4	1.2841837	5.454855761284011e-92	0.5450804
34	Bspry	0.82961804	1.564874655243614e-17	0.48915663	mt-Atp6	1.3629886	0.0	0.99969405	Il1rn	2.2973077	9.384513268340797e-90	0.2674897
35	Fxyd5	1.2861489	4.423461772467675e-17	0.28313252	Cttn	1.7527565	0.0	0.9197259	Dennd5b	1.925704	1.2876845302757895e-88	0.325477
36	Sftpa1	0.8187633	8.35072310467359e-17	0.55903614	Cyp2f2	4.321149	0.0	0.28750613	AA467197	1.3464658	2.660358849515747e-88	0.46015713
37	Sox9	1.1031944	1.4355423929986392e-16	0.3433735	Pdia3	1.6549112	0.0	0.9192976	Gsta1	2.8933902	2.620018131844054e-86	0.23830901
38	Abcb1a	1.4633278	6.824132202704124e-16	0.22650602	Gm10036	1.8753166	0.0	0.80115026	S100a6	0.37572646	1.0234539698417544e-86	0.9992518
39	Pf4	1.811188	7.121362361532393e-16	0.19156626	Car2	2.1194189	0.0	0.8032305	Rpl18a	0.33822522	2.318993560273982e-86	0.99700713
40	Lrrc8c	1.4419042	1.840493772327719e-15	0.2180723	Acsl4	2.09242	0.0	0.6882648	Akr1b8	1.015317	4.5463115813115644e-86	0.6315002
41	B2m	0.62345755	2.653053360172564e-15	0.73493975	Arg1	3.5158682	0.0	0.3907856	Onecut2	0.866473	9.500218862343824e-79	0.65057987
42	Rabac1	0.4949508	3.4943587576720053e-15	0.76506025	Dcpp1	4.1669393	0.0	0.2131669	Cyr61	1.2283713	1.4835943097186513e-77	0.48410025
43	Rpl13	0.2320358	3.7862884826045904e-15	0.99759036	Lcn2	2.378303	0.0	0.77716595	Sprr1a	1.3392818	3.0362623376991406e-75	0.4788627
44	Gstm5	1.0942088	4.43162086231694e-15	0.32650602	Krt20	1.937362	0.0	0.8962922	Hs3st1	1.1223084	3.609542574525554e-74	0.46502057
45	Tceb2	0.33826563	6.1768403550803805e-15	0.9385542	Chil4	3.909217	0.0	0.41978708	Rpl21	0.3466492	1.3202410919173869e-70	0.98241675
46	F3	0.72172666	6.878129720628944e-15	0.61084336	Kit	5.130305	0.0	0.23647822	Cdh17	2.5428913	1.3300959875581676e-69	0.18742986
47	H2-K1	0.7008345	9.888762779546157e-15	0.55421686	Ube2n	2.0226302	0.0	0.70680374	Gm26917	0.56677467	4.115716215649404e-69	0.8567153
48	1810058I24Rik	0.5898307	2.139012227367056e-14	0.6168675	Cd24a	1.4749641	0.0	0.98745716	Trf	1.2583675	2.3678311664571762e-68	0.4137673
49	Cxcl15	1.2165192	2.917802262543835e-14	0.2879518	Plet1	2.1537561	0.0	0.7687836	Gm42418	0.7113929	4.4009304330227875e-68	0.7235316
50	Gm26917	0.39815986	3.842470137734143e-14	0.87349397	Fscn1	1.9107374	0.0	0.73042095	Gas6	2.5410268	1.1232581352048045e-67	0.19042274
51	Crip2	0.7338999	8.01499091732375e-14	0.51566267	Ptprn	2.1395414	0.0	0.64659816	Rps16	0.33805856	6.032465881676952e-65	0.9895249
52	Myl12a	0.33863586	7.95815970487612e-14	0.94578314	Lgals3	1.5342358	0.0	0.9991434	Gkn1	2.477433	1.689378120881249e-64	0.21025066
53	Ttll5	1.5148383	2.0782128855253892e-13	0.18072289	Ggh	2.1825347	0.0	0.6309961	Igfbp4	0.84656155	6.439122615990082e-64	0.5862327
54	Foxa2	1.4596075	2.0955409349420388e-13	0.19156626	Klk8	3.9545784	0.0	0.35413608	Phgdh	1.0531013	4.527439090170844e-62	0.4234942
55	Rps8	0.21049145	2.773741248683294e-13	0.99759036	Aplp2	1.704203	0.0	0.88393295	Slco3a1	1.5397863	8.441109366200831e-62	0.2772166
56	Renbp	1.5929813	3.022158884917157e-13	0.1746988	Mrps6	1.8881398	0.0	0.7370289	Angptl4	1.416989	1.385951472345795e-61	0.32061353
57	Ccnd2	0.74491525	3.022158884917157e-13	0.44698796	mt-Co1	1.0972209	0.0	0.9992046	Rps11	0.35266167	1.1074643052397995e-61	0.98129445
58	Syngr1	0.8709745	1.9008902749958493e-12	0.33373493	Atox1	1.3018827	0.0	0.98947626	Hsd17b14	1.92495	3.7660095640043995e-61	0.21099888
59	Arpc1b	0.31366432	2.8867495864330204e-12	0.94216865	Esd	1.4956112	0.0	0.9458517	Gstm1	0.9272418	1.9485463359424396e-59	0.51290685
60	Procr	1.0846887	3.755990306005857e-12	0.26024097	Ccnd1	1.6346589	0.0	0.89255995	Rpl13a	0.30178788	2.701438109472209e-58	0.993266
61	2010111I01Rik	1.1531907	4.680568827022005e-12	0.22650602	Pir	2.1279147	0.0	0.62903816	Ccnd2	1.0206524	1.3744870072303843e-56	0.40628508
62	Rpl8	0.1829597	8.642000820091518e-12	0.99879515	Nmb	3.2702181	0.0	0.36882037	Rrad	1.9765891	1.9369638497229227e-54	0.19902731
63	Egfl6	1.612918	9.33979972449666e-12	0.15301205	Uqcrb	1.5226986	0.0	0.9301885	Muc1	0.7368471	5.333350273548073e-54	0.6038159
64	Cradd	1.5751027	1.1501875633770097e-11	0.1493976	Prdx6	1.4814432	0.0	0.9560695	Malat1	0.43575126	3.5501792928524227e-53	1.0
65	Hacd2	0.8100079	1.383721431015831e-11	0.3493976	Wfdc1	2.777408	0.0	0.4593123	Dmbt1	1.4281467	5.7146600049388334e-52	0.26524505
66	Ffar4	0.91528016	1.688728796508739e-11	0.29036143	Pgk1	1.7890962	0.0	0.7622369	Tspan8	0.6024249	2.1669598850432026e-51	0.7295174
67	S100a14	0.41768616	1.822719268858829e-11	0.86506027	Ece1	2.0532682	0.0	0.6531449	Mcpt2	1.9512137	1.0800102870516658e-48	0.18518518
68	Rpl32	0.20190649	1.8982557895141466e-11	0.99879515	Krtdap	7.537311	0.0	0.16397455	Gdf15	1.4915392	2.0304194749274185e-46	0.2278339
69	Tpi1	0.3526442	2.3201051221321308e-11	0.9024096	Dnaja1	1.4204044	0.0	0.960536	Rps10	0.32714203	1.883484447817107e-46	0.96595585
70	Nkx2-1	0.9727022	4.359505175738908e-11	0.26024097	Bpifa1	3.2293162	0.0	0.22228341	Ubc	0.39653537	2.0170480002704322e-46	0.94874674
71	Wdr89	0.26011378	4.823291965573649e-11	0.97831327	Bhlhe41	3.2859354	0.0	0.32427803	Ceacam1	0.8558501	7.32686180835184e-46	0.45491958
72	Aspscr1	1.1939118	5.341666907149297e-11	0.213253	Laptm5	6.7255707	0.0	0.16226138	Vimp	0.6577387	8.954896178225981e-46	0.6105499
73	Gars	0.7711713	6.426196592126972e-11	0.34698796	Mmp14	1.8357545	0.0	0.74394274	Plaur	0.6099646	2.858614072270893e-45	0.7100636
74	Tns4	0.97340244	1.0138809807976276e-10	0.25301206	Rbm24	5.0193396	0.0	0.19548458	Gjb1	1.6081831	5.939902096049975e-44	0.1922933
75	Gadd45g	0.7531581	1.1401158848909142e-10	0.38915664	Tmsb10	1.3408687	0.0	0.9941875	Car8	1.3775133	1.332465452878807e-43	0.22035167
76	Uqcc2	0.43776715	1.4508551661028342e-10	0.6831325	Nupr1	1.6600322	0.0	0.97522026	Nrn1	0.7042723	1.561219930444109e-43	0.56640476
77	Ssx2ip	0.7910278	1.676240617596772e-10	0.3385542	Ttc39b	2.4437091	0.0	0.4623715	Acta2	2.0595722	3.395805580887613e-43	0.16647962
78	Actb	0.3261627	2.462037622073706e-10	0.9963855	2300002M23Rik	8.869256	0.0	0.18337004	Sox9	1.0581629	8.27866571989496e-43	0.3131313
79	Palmd	0.9809433	2.7498139733010117e-10	0.23734939	Tnfrsf9	3.1949768	0.0	0.32415566	Gata6	1.916852	1.1052571022930071e-42	0.17096895
80	Cd9	0.32798404	3.4236045227771806e-10	0.94939756	Frmd5	4.1151114	0.0	0.22167157	Rps29	0.26145414	8.710593811006759e-41	0.9895249
81	Rpl21	0.19015399	4.3108319076838494e-10	0.9927711	Tmprss6	4.1264195	0.0	0.20790504	Galnt7	1.1471628	3.9458489071381e-40	0.26599327
82	Anxa5	0.399158	6.209019795945675e-10	0.7698795	Ifitm6	8.684252	0.0	0.15638767	Phgr1	1.0022318	1.0151266812694877e-39	0.32398054
83	Rras	0.80926275	8.405390475538415e-10	0.28915662	Cdh13	2.2775033	0.0	0.52838963	Pf4	1.6316134	5.674747943524318e-38	0.16236438
84	Gapdh	0.21841018	1.1017600502692354e-09	0.9891566	Lamp2	1.5171199	0.0	0.887604	Cfi	1.3654703	1.4873355610162514e-37	0.19790497
85	Mthfd2	1.0515848	1.9766322654955024e-09	0.19879518	Sgk1	1.803293	0.0	0.74504405	Egfl6	1.8424057	8.928044607278354e-37	0.14104003
86	Tceal8	0.9989474	2.905426641249995e-09	0.21204819	Tmem167	1.5135105	0.0	0.83284384	Dpcr1	1.1860884	3.352602366692423e-36	0.2476618
87	Snrnp27	0.48206115	3.373296541615259e-09	0.5554217	Pbx1	1.5840383	0.0	0.8216471	Rps3a1	0.27595666	6.960523007909102e-36	0.9678264
88	Pop5	0.6261101	3.659268324448597e-09	0.38072288	Prss12	3.285976	0.0	0.32066813	Rbp4	0.7627992	3.4296020596209994e-34	0.4074074
89	Myadm	0.8892019	3.904629610348475e-09	0.23855421	Plin2	1.4954569	0.0	0.8795276	Cldn18	1.2924062	1.22523979685414e-33	0.19453797
90	Lyz2	0.7832035	7.954628256338886e-09	0.35060242	Gm10076	0.7909939	0.0	0.9995105	AY036118	0.7149789	2.012340890934465e-33	0.40965208
91	Rps28	0.21154764	9.727069151267904e-09	0.98433733	Prap1	4.947672	0.0	0.26725402	Afp	0.8735979	2.7680911711202134e-33	0.30789375
92	Malat1	0.28363046	1.1203843221886045e-08	1.0	Pde4d	2.3303168	0.0	0.4872736	Sepp1	0.77251035	3.509486665317532e-33	0.3808455
93	S100a13	0.43281198	1.3173353149976822e-08	0.62289155	Gdi2	1.3827976	0.0	0.9040626	Bok	0.6357527	6.295204730883012e-33	0.48746726
94	Cd47	0.49830475	3.5621488447271e-08	0.47831327	Irx5	2.1080947	0.0	0.5592878	Fam149a	1.3052487	7.605552461183737e-33	0.19004864
95	Tspan7	0.7961172	3.64571602491239e-08	0.24939759	Anxa8	1.8811365	0.0	0.6566936	Rps9	0.22825164	9.559322744733171e-33	0.9880284
96	Metrnl	0.7109422	5.193088583304029e-08	0.29036143	Cxcl14	2.992868	0.0	0.33590308	Sftpb	0.5660067	6.128976467150389e-31	0.650954
97	St13	0.32046497	6.910640590086832e-08	0.773494	Cd81	1.2971601	0.0	0.96744984	Anxa4	0.44743153	7.648567405401955e-31	0.70407784
98	AY036118	0.5405907	7.281605880839819e-08	0.41686746	Cstb	1.2028238	0.0	0.9805433	Ethe1	0.85736173	2.34311205059075e-30	0.30864197
99	Bcl2l1	0.61050093	8.211788999425965e-08	0.3493976	Fam46a	2.6449502	0.0	0.3742658	Nes	1.7258826	1.6954527750364894e-29	0.12495323
100	Gadd45a	0.49948028	9.126622380319918e-08	0.49518073	F5	3.0656674	0.0	0.30518845	Rps27	0.21898481	1.5701265499815843e-29	0.98915076
101	Selm	1.2654598	9.238764340442351e-08	0.13373494	Nfkbiz	1.4130522	0.0	0.91672784	Parm1	1.1515845	2.4518810017092599e-29	0.19491209
102	Mif	0.3203901	1.0452696623691685e-07	0.84819275	Cxcl17	2.080021	0.0	0.5415443	Rplp0	0.20295826	3.8647871638845903e-29	0.9936401
103	Cd36	1.2208896	1.1126105856088957e-07	0.14096385	Spock3	5.2463064	0.0	0.15259422	Cd2ap	0.56056184	8.244528811736932e-29	0.5050505
104	H2-Ab1	0.79384464	1.1720524353422465e-07	0.24939759	Ttc39c	2.8099556	0.0	0.29246205	Hspb1	0.59223247	2.7458321691557286e-28	0.5383464
105	Galnt1	0.5114255	1.4477802692029875e-07	0.4554217	Gsr	1.2404225	0.0	0.95233727	Chchd2	0.23350313	2.1467887853031814e-27	0.96333706
106	Gata6	1.1734667	1.7294839321521304e-07	0.13373494	Eif2s3y	2.1523776	0.0	0.45349976	Rpl6	0.19674788	2.3517893731760067e-27	0.9846614
107	Vgll4	0.7109332	1.8283953531793884e-07	0.2626506	Nat8l	4.4695115	0.0	0.18881547	Gsta3	1.4427608	3.1830685822623724e-27	0.13505425
108	Pdap1	0.3548942	1.965629630751704e-07	0.68192774	Atrx	1.5607599	0.0	0.74106705	Scara3	1.2280356	3.953138458215129e-27	0.1694725
109	Ctgf	0.90750176	2.4104805196023824e-07	0.2060241	Ncam1	2.7622113	0.0	0.30017132	Csf2	1.1926285	1.3370106907587046e-26	0.16722783
110	Sh3kbp1	1.0397261	3.000993075818356e-07	0.14819278	Lpgat1	1.7046355	0.0	0.6519212	Hk2	0.6267719	1.4575198873613482e-26	0.4130191
111	Cops7a	0.501214	3.1992297554868027e-07	0.40361446	Tpgs2	2.5248356	0.0	0.3643539	Chil1	0.99440145	2.721050611931725e-26	0.2023943
112	Cox17	0.31180736	3.288554682505811e-07	0.76144576	Gnas	1.1762167	1.0157522617239119e-301	0.9885585	Pdzk1ip1	1.1781323	1.6006817516082432e-24	0.15787505
113	Ap1s3	1.0000986	4.588881879227793e-07	0.15783133	Litaf	1.3746657	7.868040627377842e-307	0.8734092	Ndrg2	1.0315973	2.6160176562583586e-24	0.19491209
114	Tecpr1	0.59829783	4.904434859691934e-07	0.3192771	Cap2	4.1551123	0.0	0.17890358	Rps21	0.25508717	4.519174414768495e-24	0.94014215
115	Psmb8	0.9047375	5.138894686682461e-07	0.18313253	Wfdc2	1.1087464	4.075396842793117e-300	0.99779737	Cxcl15	0.8948671	7.105419190733973e-24	0.20987654
116	Pea15a	0.6727746	6.201323436343087e-07	0.2686747	Pgrmc1	1.7136241	0.0	0.63937837	Lmo4	0.5009598	9.311225702960431e-24	0.5308642
117	Gabarap	0.2594061	6.520893326168876e-07	0.8722892	Nnat	2.1529424	0.0	0.47203866	Oxct1	0.9380289	1.1614276428279584e-23	0.21212122
118	Timp2	0.42589658	7.967565612009485e-07	0.53614455	mt-Nd1	1.0170823	3.5525869331878947e-292	0.99755263	Aprt	0.40153027	1.1544206074289122e-23	0.654321
119	Etv5	1.0554991	8.456940741097236e-07	0.13614458	Rdh10	1.4814398	5.406073322634877e-298	0.8212188	Foxa3	0.90593714	1.4630976687537887e-23	0.2020202
120	Serpinb9	0.67596483	1.000829855176759e-06	0.26506025	Pmp22	2.9031742	0.0	0.2598507	Vil1	1.2687223	1.5878011306592075e-23	0.14104003
121	Msn	0.3606241	1.135559804411903e-06	0.6759036	Gde1	1.6706392	5.554509904927793e-298	0.64145863	Ankrd1	1.268747	2.7471734597878536e-23	0.14365882
122	Timp3	0.7048704	1.1858260058437877e-06	0.2554217	Hnrnpa3	1.1386113	1.0513147890328247e-286	0.96078074	Selm	1.3600476	6.02043303352319e-23	0.13093902
123	Gdf15	0.91474533	1.3001677371645953e-06	0.18554217	Rcn2	1.5809169	4.159445632759281e-295	0.65883505	Rps8	0.15735976	6.615155783621735e-23	0.996633
124	Podxl	0.887152	1.4317792438598464e-06	0.16506024	Perp	1.3738321	1.7117962173054194e-287	0.8592756	Aldh1a3	0.51922303	1.0096228422706147e-22	0.52413017
125	Chchd10	0.7263303	1.4463010287794623e-06	0.23253012	Cebpb	1.3766336	1.4608201997526685e-288	0.9097528	Eef1g	0.2781425	4.873531683145437e-22	0.88439953
126	Atxn10	0.37860388	1.5198202374687178e-06	0.5759036	Ube2d2a	1.2937744	2.0977025527470057e-286	0.8686368	Gm9844	0.35715634	1.2237742855345647e-21	0.8106996
127	Wnt7a	1.0292084	1.5783662971473969e-06	0.13493976	App	1.4163786	2.9883955571504513e-288	0.8353524	Pdlim1	0.46722448	1.7058445514180797e-21	0.52338195
128	Cdk2ap2	0.3357371	1.5987515211475627e-06	0.67108434	Ddx5	1.0344859	1.351200844473632e-278	0.9888644	Chpt1	1.3218505	3.5917529441467354e-21	0.1271979
129	H2-Eb1	1.057615	1.6496274059651742e-06	0.1373494	Morf4l2	1.1475066	1.65943113687393e-279	0.9505629	Lrrk1	0.7238953	4.1000840992719776e-20	0.25626636
130	Prkg2	0.8103304	1.6769765177927731e-06	0.21566264	Rab11a	1.171327	5.497554454817564e-278	0.94364905	Emp3	0.45955768	1.6250738107314988e-19	0.48597082
131	Bhlhe40	0.42653382	1.7691402654972223e-06	0.5	Dynap	2.389387	3.399746044124437e-294	0.39604747	Tle4	1.0608702	1.9444973945183577e-19	0.1432847
132	Camk2d	0.37394497	1.7823392485498454e-06	0.58072287	Tpt1	0.7218018	3.8858178770951035e-273	0.99932694	Tpd52l1	0.89407855	2.323264557963965e-19	0.18406285
133	Klf7	0.5502641	2.0134644884721516e-06	0.32891566	Klf4	1.3507943	8.984343932039589e-279	0.9011258	Cdc42ep2	1.0564086	2.457053781395612e-19	0.14889637
134	Sars	0.404801	2.338747692690661e-06	0.52168673	Hmgn2	1.605345	6.034425865901922e-283	0.6357685	Anxa5	0.34739986	3.9896950793611565e-19	0.7029555
135	Nme2	0.24423787	2.5848125897354428e-06	0.9060241	Txnl1	1.2655708	1.31820673904942e-274	0.8639256	Sftpc	0.5522112	5.818220035875684e-19	0.59483725
136	Chchd4	0.59861183	2.863142698455198e-06	0.27710843	Mafb	3.1123042	2.2725778408296742e-300	0.2349486	Rhoc	0.4238853	2.715321332483745e-18	0.543584
137	Blvrb	0.60763085	3.1174734866320784e-06	0.2759036	Zfand6	1.2510126	2.3240378219105817e-273	0.8962922	Ckb	0.8638071	6.736739766500841e-18	0.18106996
138	Rps10	0.16986398	3.240516484094974e-06	0.98433733	Tgfbi	2.3533356	8.637456991071139e-291	0.34765053	Cdkn1a	0.41570827	7.348906434138085e-18	0.5821175
139	Serpine1	1.1630872	3.3308994432420193e-06	0.12048193	Lbp	2.1146595	5.449147463801642e-289	0.4256608	Tmem171	0.8783224	9.90668888136747e-18	0.16498317
140	Ckb	0.8424654	3.574972405990441e-06	0.1746988	Pthlh	1.9880474	1.266270271280123e-284	0.4904552	Khk	1.1112399	1.275559342876795e-17	0.12981668
141	Mafg	0.41658384	3.605036900861671e-06	0.47228914	Fam110a	1.5625705	2.6452637896333464e-274	0.69052863	Rpl12	0.23964722	1.54634393758968e-17	0.9180696
142	Cwh43	0.6420817	3.975983609867922e-06	0.25301206	Camk2n1	1.3246351	4.838906445050082e-272	0.86013216	Arhgdig	1.1001159	5.008833414051832e-17	0.1238309
143	Mcpt2	1.1507812	3.991031964373212e-06	0.12891567	Gm10073	1.8722831	1.525298567589101e-277	0.50654674	Ralgapa2	1.1618756	6.142761192180168e-17	0.11634867
144	B4galt5	1.1291312	4.043182094094492e-06	0.110843375	Hsp90b1	1.23498	1.6706502040767947e-265	0.9058982	Degs2	1.0724299	6.312849481411606e-17	0.12158623
145	Phgdh	0.5236522	4.390409078904518e-06	0.36746988	Tmem59	1.0895566	5.374723662291078e-263	0.9683676	Bace2	0.995786	7.241050693583005e-17	0.1339319
146	Ptgs1	0.8122177	4.561976991861811e-06	0.18554217	Cldn3	1.2926716	2.679612664527953e-265	0.9484214	Dusp5	0.4047722	8.600192525772527e-17	0.5346053
147	Leprotl1	0.42555228	5.106274373789303e-06	0.45180723	Upp1	2.0510032	1.4152480989767493e-276	0.46885708	Shf	1.0635614	8.901869748642705e-17	0.124205016
148	Atp6v1f	0.24071293	5.93204031252451e-06	0.8493976	Ctsc	1.3016577	6.860266132929943e-268	0.8658835	Socs2	0.651756	1.2424078946559252e-16	0.24728769
149	Txnip	0.74676085	6.3399978709309015e-06	0.19879518	Ubb	0.66298056	8.32038618621861e-262	1.0	Renbp	1.0588138	1.360525513025545e-16	0.13542835
150	Rpl12	0.20493056	6.625658549817172e-06	0.9518072	Csf3	2.6098473	5.832289053603572e-283	0.34844592	Pparg	0.84626555	1.4033633934203845e-16	0.1724654
151	Mlf2	0.30712742	6.954630131555999e-06	0.686747	Rtn4	1.1427503	3.053826736796864e-261	0.9493392	Mthfd2	0.8591443	1.4039642163452872e-16	0.1694725
152	Zfhx3	0.51621336	7.042767664562727e-06	0.33493975	Sult1a1	3.1583788	2.2669263529112155e-287	0.20582476	Cnn2	0.45333362	1.434487104348681e-16	0.43172467
153	Cycs	0.2684218	7.4695972829735285e-06	0.7879518	mt-Co2	1.0612084	5.505659106658398e-259	0.9945546	Tspan5	1.0747224	2.1439704187549546e-16	0.12270857
154	Junb	0.22822905	8.595087158418266e-06	0.96024096	Arpc5	1.1316801	7.174345015751808e-260	0.93190163	Rpl30	0.22810154	2.554139701058542e-16	0.902731
155	Zbtb20	0.4402439	8.947021107700378e-06	0.42168674	Ube2b	1.0972515	2.833449029567211e-259	0.95423394	Rps24	0.17903927	2.711792091580971e-16	0.97792745
156	Rpl38	0.18354799	9.156856676839705e-06	0.96385545	Syap1	2.5350163	1.3464386861982018e-277	0.3192609	Ctse	0.3624516	3.623591917812653e-16	0.6105499
157	Stk11	0.5447288	9.931141583004837e-06	0.2951807	Rbm3	1.1551324	3.0609030138019203e-261	0.9338595	Ager	0.7911385	4.573023669101804e-16	0.17358772
158	Atp8a1	0.774479	1.0246109043797027e-05	0.17349398	Smarca2	2.0631723	2.1309060761636544e-274	0.38919482	AI413582	0.60504943	1.3132746255459555e-15	0.2641227
159	Lpcat3	0.55210155	1.0786553709317735e-05	0.28554216	Ctsd	1.0796874	1.3410446204012064e-255	0.9790749	Rilpl2	0.49055815	1.663108257329859e-15	0.3482978
160	Sec14l1	0.75359315	1.1171628108249213e-05	0.18192771	Rbbp7	1.2938579	1.116094909892749e-258	0.8307636	Tspan15	0.74518466	1.7689144902648511e-15	0.1855593
161	Scara3	0.86648095	1.1464255830383508e-05	0.1493976	Gm8730	1.3920288	2.877551110259575e-259	0.7292584	Gnl3	0.5306895	1.9573751182275707e-15	0.31687242
